"Date","Price","Open","High","Low","Vol.","Change %"
"09/22/2020","3.8290","3.8180","3.8526","3.8087","","0.33%"
"09/21/2020","3.8163","3.7675","3.8356","3.7517","","1.40%"
"09/18/2020","3.7636","3.7592","3.7717","3.7474","","0.20%"
"09/17/2020","3.7560","3.7662","3.7943","3.7557","","-0.22%"
"09/16/2020","3.7643","3.7611","3.7748","3.7420","","0.15%"
"09/15/2020","3.7588","3.7483","3.7646","3.7292","","0.37%"
"09/14/2020","3.7450","3.7538","3.7627","3.7408","","-0.15%"
"09/11/2020","3.7505","3.7689","3.7725","3.7453","","-0.45%"
"09/10/2020","3.7675","3.7637","3.7786","3.7327","","0.15%"
"09/09/2020","3.7620","3.7835","3.7924","3.7550","","-0.47%"
"09/08/2020","3.7797","3.7550","3.7891","3.7473","","0.77%"
"09/07/2020","3.7510","3.7640","3.7778","3.7485","","-0.26%"
"09/04/2020","3.7608","3.7448","3.7945","3.7391","","0.52%"
"09/03/2020","3.7415","3.7218","3.7621","3.7194","","0.60%"
"09/02/2020","3.7190","3.6844","3.7390","3.6780","","0.97%"
"09/01/2020","3.6831","3.6841","3.6904","3.6558","","0.04%"
"08/31/2020","3.6815","3.6860","3.6999","3.6649","","-0.06%"
"08/28/2020","3.6837","3.7315","3.7374","3.6810","","-1.18%"
"08/27/2020","3.7276","3.7317","3.7533","3.6988","","-0.06%"
"08/26/2020","3.7300","3.7189","3.7471","3.7116","","0.34%"
"08/25/2020","3.7172","3.7292","3.7330","3.7058","","-0.26%"
"08/24/2020","3.7270","3.7455","3.7473","3.7076","","-0.35%"
"08/21/2020","3.7402","3.6964","3.7513","3.6850","","1.26%"
"08/20/2020","3.6936","3.7169","3.7266","3.6930","","-0.57%"
"08/19/2020","3.7147","3.6688","3.7199","3.6613","","1.31%"
"08/18/2020","3.6668","3.7053","3.7082","3.6609","","-1.00%"
"08/17/2020","3.7039","3.7123","3.7192","3.6971","","-0.15%"
"08/14/2020","3.7094","3.7232","3.7336","3.7097","","-0.28%"
"08/13/2020","3.7200","3.7371","3.7396","3.7065","","-0.32%"
"08/12/2020","3.7320","3.7541","3.7649","3.7243","","-0.50%"
"08/11/2020","3.7509","3.7476","3.7615","3.7264","","0.17%"
"08/10/2020","3.7445","3.7445","3.7543","3.7310","","0.09%"
"08/07/2020","3.7410","3.7185","3.7528","3.7109","","0.63%"
"08/06/2020","3.7174","3.7139","3.7310","3.6890","","0.18%"
"08/05/2020","3.7108","3.7241","3.7301","3.6943","","-0.33%"
"08/04/2020","3.7230","3.7513","3.7604","3.7223","","-0.70%"
"08/03/2020","3.7492","3.7499","3.7805","3.7406","","0.17%"
"07/31/2020","3.7429","3.7224","3.7554","3.6983","","0.63%"
"07/30/2020","3.7193","3.7417","3.7629","3.7185","","-0.37%"
"07/29/2020","3.7332","3.7661","3.7784","3.7333","","-0.78%"
"07/28/2020","3.7626","3.7353","3.7705","3.7280","","0.74%"
"07/27/2020","3.7350","3.7780","3.7875","3.7266","","-1.10%"
"07/24/2020","3.7766","3.8026","3.8096","3.7755","","-0.64%"
"07/23/2020","3.8010","3.8219","3.8284","3.7856","","-0.51%"
"07/22/2020","3.8204","3.8465","3.8614","3.8096","","-0.64%"
"07/21/2020","3.8450","3.8923","3.9000","3.8407","","-1.19%"
"07/20/2020","3.8912","3.9176","3.9276","3.8895","","-0.59%"
"07/17/2020","3.9143","3.9395","3.9445","3.9122","","-0.55%"
"07/16/2020","3.9358","3.9231","3.9469","3.9121","","0.35%"
"07/15/2020","3.9219","3.9250","3.9309","3.9019","","-0.04%"
"07/14/2020","3.9233","3.9592","3.9681","3.9199","","-0.89%"
"07/13/2020","3.9586","3.9525","3.9627","3.9361","","0.28%"
"07/10/2020","3.9474","3.9616","3.9797","3.9419","","-0.26%"
"07/09/2020","3.9575","3.9502","3.9646","3.9309","","0.26%"
"07/08/2020","3.9471","3.9709","3.9764","3.9458","","-0.50%"
"07/07/2020","3.9670","3.9471","3.9737","3.9365","","0.51%"
"07/06/2020","3.9467","3.9681","3.9734","3.9369","","-0.44%"
"07/03/2020","3.9642","3.9701","3.9852","3.9606","","-0.11%"
"07/02/2020","3.9684","3.9771","3.9826","3.9481","","-0.16%"
"07/01/2020","3.9746","3.9565","3.9899","3.9471","","0.52%"
"06/30/2020","3.9539","3.9643","3.9904","3.9448","","-0.20%"
"06/29/2020","3.9618","3.9843","3.9872","3.9555","","-0.42%"
"06/26/2020","3.9786","3.9706","3.9922","3.9639","","0.27%"
"06/25/2020","3.9680","3.9610","3.9948","3.9548","","0.26%"
"06/24/2020","3.9576","3.9332","3.9648","3.9228","","0.73%"
"06/23/2020","3.9291","3.9459","3.9599","3.9132","","-0.35%"
"06/22/2020","3.9430","3.9938","4.0034","3.9389","","-1.16%"
"06/19/2020","3.9891","3.9712","4.0015","3.9541","","0.54%"
"06/18/2020","3.9677","3.9708","3.9845","3.9514","","0.02%"
"06/17/2020","3.9668","3.9472","3.9876","3.9358","","0.53%"
"06/16/2020","3.9459","3.9011","3.9646","3.8879","","1.19%"
