"Date","Price","Open","High","Low","Vol.","Change %"
"01/18/2023","4.3676","4.3568","4.3769","4.3201","","0.33%"
"01/17/2023","4.3534","4.3340","4.3608","4.3165","","0.61%"
"01/16/2023","4.3271","4.3327","4.3565","4.3146","","0.00%"
"01/13/2023","4.3273","4.3256","4.3491","4.3140","","0.13%"
"01/12/2023","4.3216","4.3575","4.3726","4.3203","","-0.75%"
"01/11/2023","4.3541","4.3713","4.3796","4.3426","","-0.36%"
"01/10/2023","4.3697","4.3751","4.3848","4.3548","","0.02%"
"01/09/2023","4.3689","4.4109","4.4149","4.3637","","-0.80%"
"01/06/2023","4.4041","4.4524","4.4802","4.3998","","-1.03%"
"01/05/2023","4.4498","4.4011","4.4572","4.3889","","1.23%"
"01/04/2023","4.3957","4.4323","4.4349","4.3885","","-0.78%"
"01/03/2023","4.4302","4.3754","4.4564","4.3679","","1.36%"
"01/02/2023","4.3706","4.3816","4.3959","4.3691","","-0.16%"
"12/30/2022","4.3775","4.3853","4.4141","4.3622","","-0.13%"
"12/29/2022","4.3833","4.4168","4.4275","4.3747","","-0.70%"
"12/28/2022","4.4144","4.4005","4.4296","4.3933","","0.39%"
"12/27/2022","4.3974","4.3663","4.4246","4.3539","","0.80%"
"12/26/2022","4.3626","4.3719","4.3795","4.3638","","-0.17%"
"12/23/2022","4.3699","4.3802","4.3868","4.3628","","-0.15%"
"12/22/2022","4.3764","4.3932","4.3959","4.3659","","-0.32%"
"12/21/2022","4.3903","4.3976","4.4068","4.3749","","-0.11%"
"12/20/2022","4.3953","4.4195","4.4335","4.3875","","-0.51%"
"12/19/2022","4.4178","4.4230","4.4385","4.3974","","-0.04%"
"12/16/2022","4.4196","4.4143","4.4301","4.3955","","0.23%"
"12/15/2022","4.4096","4.3818","4.4366","4.3687","","0.71%"
"12/14/2022","4.3786","4.4084","4.4365","4.3785","","-0.64%"
"12/13/2022","4.4066","4.4530","4.4618","4.3948","","-0.97%"
"12/12/2022","4.4498","4.4472","4.4728","4.4332","","0.08%"
"12/09/2022","4.4461","4.4343","4.4636","4.4194","","0.34%"
"12/08/2022","4.4309","4.4665","4.4830","4.4317","","-0.74%"
"12/07/2022","4.4638","4.4808","4.4966","4.4529","","-0.30%"
"12/06/2022","4.4772","4.4893","4.5060","4.4548","","-0.18%"
"12/05/2022","4.4851","4.4372","4.4975","4.4124","","1.23%"
"12/02/2022","4.4307","4.4543","4.4979","4.4324","","-0.46%"
"12/01/2022","4.4510","4.4858","4.5174","4.4492","","-0.72%"
"11/30/2022","4.4834","4.5288","4.5447","4.4767","","-0.86%"
"11/29/2022","4.5222","4.5307","4.5359","4.4963","","-0.13%"
"11/28/2022","4.5279","4.5205","4.5414","4.4596","","0.52%"
"11/25/2022","4.5046","4.5122","4.5336","4.4982","","-0.05%"
"11/24/2022","4.5069","4.5235","4.5303","4.4999","","-0.31%"
"11/23/2022","4.5208","4.5653","4.5722","4.5177","","-0.92%"
"11/22/2022","4.5627","4.5869","4.5975","4.5633","","-0.47%"
"11/21/2022","4.5844","4.5518","4.6095","4.5493","","0.79%"
"11/18/2022","4.5484","4.5416","4.5616","4.5239","","0.23%"
"11/17/2022","4.5379","4.5195","4.5756","4.5073","","0.51%"
"11/16/2022","4.5150","4.5724","4.6270","4.4994","","-1.26%"
"11/15/2022","4.5727","4.5633","4.6136","4.4806","","0.29%"
"11/14/2022","4.5596","4.5216","4.5704","4.5164","","0.96%"
"11/11/2022","4.5163","4.5926","4.6151","4.5134","","-1.56%"
"11/10/2022","4.5880","4.7105","4.7502","4.5859","","-2.51%"
"11/09/2022","4.7061","4.6524","4.7182","4.6455","","1.21%"
"11/08/2022","4.6500","4.6607","4.7061","4.6411","","-0.17%"
"11/07/2022","4.6580","4.7056","4.7323","4.6564","","-0.93%"
"11/04/2022","4.7015","4.8156","4.8228","4.7008","","-2.33%"
"11/03/2022","4.8136","4.7903","4.8451","4.7774","","0.48%"
"11/02/2022","4.7906","4.7615","4.7976","4.7155","","0.69%"
"11/01/2022","4.7577","4.7729","4.7769","4.7274","","-0.25%"
